GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,CTY_SUBA,PLACEA,TRACTA,SCSAA,SMSAA,URB_AREAA,AREANAME,CENCNTY,CBD,SEA,C24001,C24002,C24003,C24004,C24005,C24006,C24007,C24008,C24009,C24010,C24011,C24012,C24013,C24014,C24015,C24016
"G1800090","1970","Indiana","18","Blackford","009",,,,,"2760",,"Blackford","1",,"03",110,207,159,271,868,895,1379,204,78,108,127,106,470,509,800,136
"G1800110","1970","Indiana","18","Boone","011",,,,,"3480",,"Boone","1",,"05",256,281,269,529,1861,1720,2799,320,147,214,237,284,857,980,1638,177
"G1800130","1970","Indiana","18","Brown","013",,,,,,,"Brown","1",,"07",48,84,101,151,552,434,738,107,33,63,54,110,267,222,404,40
"G1800150","1970","Indiana","18","Carroll","015",,,,,,,"Carroll","1",,"09",124,179,191,266,1108,877,1707,367,92,126,107,182,573,464,853,160
"G1800170","1970","Indiana","18","Cass","017",,,,,"3480",,"Cass","1",,"09",331,340,284,610,2236,2096,3784,430,152,293,385,455,1134,1405,2432,335
"G1800190","1970","Indiana","18","Clark","019",,,,,"4520",,"Clark","1",,"F",498,730,831,1717,4752,4298,6163,630,369,681,750,1195,2624,2681,3890,374
"G1800210","1970","Indiana","18","Clay","021",,,,,"8320",,"Clay","1",,"06",123,228,243,340,1175,1168,2181,334,51,179,161,199,517,681,1243,151
"G1800230","1970","Indiana","18","Clinton","023",,,,,,,"Clinton","1",,"09",262,273,223,517,1568,1762,2771,444,105,201,223,363,694,1114,1822,271
"G1800250","1970","Indiana","18","Crawford","025",,,,,,,"Crawford","1",,"07",30,54,100,151,388,372,709,123,17,27,44,64,183,156,392,24
"G1800270","1970","Indiana","18","Daviess","027",,,,,"8320",,"Daviess","1",,"06",244,255,232,461,1343,1211,2593,291,128,172,237,233,613,659,1355,177
"G1800290","1970","Indiana","18","Dearborn","029",,,,,"1640",,"Dearborn","1",,"08",232,190,280,457,1556,1628,2750,254,95,189,162,231,626,797,1279,143
"G1800310","1970","Indiana","18","Decatur","031",,,,,,,"Decatur","1",,"05",166,195,154,414,1264,1174,1999,372,126,176,189,253,651,646,951,150
"G1800330","1970","Indiana","18","DeKalb","033",,,,,"1640",,"De Kalb","1",,"03",250,244,261,582,1821,1608,2727,329,140,251,246,368,995,960,1631,243
"G1800350","1970","Indiana","18","Delaware","035",,,,,"5280",,"Delaware","0",,"H",887,1699,1801,2879,7563,6697,10094,1022,493,1700,1894,1744,3316,3704,5985,655
"G1800370","1970","Indiana","18","Dubois","037",,,,,,,"Dubois","1",,"07",249,376,223,527,1834,1464,2518,458,217,261,284,368,848,841,1217,195
"G1800390","1970","Indiana","18","Elkhart","039",,,,,,,"Elkhart","1",,"01",1369,1582,1299,2525,8033,6957,10776,1454,909,1443,1403,1681,4181,4212,6873,690
"G1800410","1970","Indiana","18","Fayette","041",,,,,"5280",,"Fayette","1",,"04",255,230,312,485,1470,1492,2425,375,87,220,186,360,585,797,1312,185
"G1800430","1970","Indiana","18","Floyd","043",,,,,"4520",,"Floyd","1",,"F",484,558,491,1044,3007,3083,4887,533,285,535,520,606,1643,1704,3103,456
"G1800450","1970","Indiana","18","Fountain","045",,,,,,,"Fountain","1",,"09",160,154,212,300,1094,841,1731,282,83,96,107,174,392,482,852,198
"G1800470","1970","Indiana","18","Franklin","047",,,,,,,"Franklin","1",,"08",99,114,247,242,891,874,1409,262,56,128,127,142,314,359,636,103
"G1800490","1970","Indiana","18","Fulton","049",,,,,,,"Fulton","1",,"02",137,127,137,258,864,933,1618,249,159,88,89,153,455,496,1067,139
"G1800510","1970","Indiana","18","Gibson","051",,,,,,,"Gibson","1",,"06",204,271,330,447,1804,1277,2762,383,114,213,230,307,804,717,1548,194
"G1800530","1970","Indiana","18","Grant","053",,,,,,,"Grant","1",,"04",697,856,813,1606,4690,4710,6791,724,375,715,942,1105,2578,2766,4105,446
"G1800550","1970","Indiana","18","Greene","055",,,,,"4520",,"Greene","1",,"06",154,152,237,435,1385,1402,2586,362,66,147,162,197,647,725,1224,286
"G1800570","1970","Indiana","18","Hamilton","057",,,,,"3480",,"Hamilton","1",,"05",514,487,333,909,3506,3357,4605,538,316,293,433,563,1565,1868,2711,316
"G1800590","1970","Indiana","18","Hancock","059",,,,,"3480",,"Hancock","1",,"05",251,294,331,695,2412,1939,2886,343,119,243,281,491,1127,1146,1686,177
"G1800610","1970","Indiana","18","Harrison","061",,,,,,,"Harrison","1",,"07",131,172,145,365,1180,1021,1813,260,46,108,130,236,552,482,778,71
"G1800630","1970","Indiana","18","Hendricks","063",,,,,"3480",,"Hendricks","1",,"05",446,410,414,908,3635,3236,4576,493,189,320,402,581,1474,1687,2589,262
"G1800650","1970","Indiana","18","Henry","065",,,,,,,"Henry","1",,"04",407,549,495,917,2929,2875,4542,674,171,340,461,590,1277,1721,2398,259
"G1800670","1970","Indiana","18","Howard","067",,,,,,,"Howard","1",,"04",690,897,793,1729,5843,4849,6653,629,482,886,886,1427,3257,2930,4231,337
"G1800690","1970","Indiana","18","Huntington","069",,,,,,,"Huntington","1",,"03",244,423,330,616,1890,1778,3130,511,240,307,346,363,1007,1080,2385,336
"G1800710","1970","Indiana","18","Jackson","071",,,,,,,"Jackson","1",,"08",299,305,263,702,1930,1829,2932,358,190,228,253,401,940,1062,1666,192
"G1800730","1970","Indiana","18","Jasper","073",,,,,,,"Jasper","1",,"02",164,277,334,431,1085,1061,1562,262,97,200,121,155,385,497,733,125
"G1800750","1970","Indiana","18","Jay","075",,,,,,,"Jay","1",,"03",220,191,176,356,1398,1113,2228,425,107,187,190,259,601,761,1357,187
"G1800770","1970","Indiana","18","Jefferson","077",,,,,,,"Jefferson","1",,"08",192,247,228,489,1485,1260,2173,248,117,173,238,302,807,772,1391,131
"G1800790","1970","Indiana","18","Jennings","079",,,,,,,"Jennings","1",,"08",65,145,156,296,1220,817,1401,207,58,136,113,245,511,390,823,90
"G1800810","1970","Indiana","18","Johnson","081",,,,,"3480",,"Johnson","1",,"05",427,734,638,1140,4007,3510,4547,477,262,447,430,848,1856,2135,2652,272
"G1800830","1970","Indiana","18","Knox","083",,,,,,,"Knox","1",,"06",364,716,418,586,1806,2024,3621,581,206,384,297,408,892,1168,2157,369
"G1800850","1970","Indiana","18","Kosciusko","085",,,,,,,"Kosciusko","1",,"02",469,510,519,982,3069,2591,4215,612,285,446,567,720,1520,1494,2414,350
"G1800870","1970","Indiana","18","Lagrange","087",,,,,"3480",,"Lagrange","1",,"03",255,254,196,424,1262,959,1570,292,154,157,164,230,532,435,866,101
"G1800890","1970","Indiana","18","Lake","089",,,,"B","2960",,"Lake","0",,"A",4373,5717,5133,9947,30471,30813,50972,3081,2548,4869,4626,6440,12776,14334,22805,1687
"G1800910","1970","Indiana","18","LaPorte","091",,,,,,,"La Porte","1",,"01",879,1229,885,1701,5723,5527,9674,937,761,878,777,1145,2685,3413,5906,573
"G1800930","1970","Indiana","18","Lawrence","093",,,,,"2960",,"Lawrence","1",,"07",227,321,319,762,2251,2046,3318,467,123,292,366,377,1107,1152,1930,245
"G1800950","1970","Indiana","18","Madison","095",,,,,"0400",,"Madison","0",,"04",938,1355,1496,3036,7964,7740,11815,1204,551,983,1239,1785,4034,4594,6982,581
"G1800970","1970","Indiana","18","Marion","097",,,,,"3480",,"Marion","0",,"D",5851,8073,8026,16750,47002,42762,67865,7534,3943,7126,8068,12321,26117,26163,46154,5004
"G1800990","1970","Indiana","18","Marshall","099",,,,,"7800",,"Marshall","1",,"02",367,357,185,625,1901,1881,3157,389,207,274,253,368,902,1136,1959,295
"G1801010","1970","Indiana","18","Martin","101",,,,,,,"Martin","1",,"07",79,139,89,173,535,611,858,137,46,111,95,114,315,276,490,79
"G1801030","1970","Indiana","18","Miami","103",,,,,,,"Miami","1",,"09",309,445,723,1256,2429,2265,3017,336,180,262,351,417,1165,1112,1706,251
"G1801050","1970","Indiana","18","Monroe","105",,,,,,,"Monroe","1",,"07",532,1383,2124,2595,5445,3641,4688,607,351,1468,1939,2237,3182,2055,3217,417
"G1801070","1970","Indiana","18","Montgomery","107",,,,,"7800",,"Montgomery","1",,"09",225,359,356,549,1987,1812,2982,508,92,212,218,289,928,973,1735,219
"G1801090","1970","Indiana","18","Morgan","109",,,,,"3480",,"Morgan","1",,"06",324,427,342,863,2892,2560,3464,473,130,323,240,429,1135,1305,1698,211
"G1801110","1970","Indiana","18","Newton","111",,,,,,,"Newton","1",,"02",94,145,89,151,712,513,996,227,62,109,59,113,332,303,641,91
"G1801130","1970","Indiana","18","Noble","113",,,,,,,"Noble","1",,"03",331,438,279,579,1860,1602,2764,355,217,279,331,399,960,964,1895,262
"G1801150","1970","Indiana","18","Ohio","115",,,,,,,"Ohio","1",,"08",30,30,25,70,224,263,352,78,5,24,22,61,121,107,236,23
"G1801170","1970","Indiana","18","Orange","117",,,,,,,"Orange","1",,"07",162,158,177,307,893,819,1497,357,56,103,151,158,433,497,860,81
"G1801190","1970","Indiana","18","Owen","119",,,,,,,"Owen","1",,"06",90,121,72,195,649,597,1049,155,48,87,57,134,251,320,556,97
"G1801210","1970","Indiana","18","Parke","121",,,,,,,"Parke","1",,"09",108,85,134,210,725,656,1351,234,37,61,86,116,224,417,639,103
"G1801230","1970","Indiana","18","Perry","123",,,,,,,"Perry","1",,"07",196,180,174,345,928,988,1595,206,79,149,230,201,489,695,974,71
"G1801250","1970","Indiana","18","Pike","125",,,,,"3480",,"Pike","1",,"06",45,92,127,201,602,636,1077,190,43,94,81,110,304,286,469,58
"G1801270","1970","Indiana","18","Porter","127",,,,"B","2960",,"Porter","1",,"A",773,1239,1187,1832,5884,5013,6834,656,484,912,946,1029,2060,2094,3174,287
"G1801290","1970","Indiana","18","Posey","129",,,,,,,"Posey","1",,"06",208,194,141,288,1200,1211,1929,215,43,156,127,153,395,534,842,117
"G1801310","1970","Indiana","18","Pulaski","131",,,,,,,"Pulaski","1",,"02",117,121,119,220,613,634,1180,200,49,81,69,102,253,296,656,72
"G1801330","1970","Indiana","18","Putnam","133",,,,,,,"Putnam","1",,"05",196,322,362,398,1350,1339,2059,350,94,204,217,279,552,690,1322,198
"G1801350","1970","Indiana","18","Randolph","135",,,,,,,"Randolph","1",,"04",266,280,286,567,1667,1530,2745,411,144,222,175,261,696,893,1475,191
"G1801370","1970","Indiana","18","Ripley","137",,,,,,,"Ripley","1",,"08",125,228,166,381,1076,1091,1841,312,94,123,191,199,449,535,1001,138
"G1801390","1970","Indiana","18","Rush","139",,,,,"2960",,"Rush","1",,"05",146,204,153,312,1005,1022,1842,336,59,146,127,215,442,598,975,187
"G1801410","1970","Indiana","18","St Joseph","141",,,,,"7800",,"St Joseph","0",,"B",2161,3015,3352,4416,12327,13018,23177,2447,1361,2434,2506,3020,5626,7485,13712,1457
"G1801430","1970","Indiana","18","Scott","143",,,,,"7800",,"Scott","1",,"08",123,176,214,355,1151,778,1399,182,82,73,139,247,546,460,744,79
"G1801450","1970","Indiana","18","Shelby","145",,,,,"3480",,"Shelby","1",,"05",313,450,350,665,2046,2303,3277,451,209,217,229,385,1053,1205,1892,305
"G1801470","1970","Indiana","18","Spencer","147",,,,,,,"Spencer","1",,"06",164,171,179,271,883,870,1489,362,64,126,128,121,358,486,723,103
"G1801490","1970","Indiana","18","Starke","149",,,,,,,"Starke","1",,"02",165,184,140,298,1045,912,1420,193,78,103,122,196,409,551,813,101
"G1801510","1970","Indiana","18","Steuben","151",,,,,"3480",,"Steuben","1",,"03",123,308,299,430,1197,847,1767,230,91,181,153,335,581,498,1036,96
"G1801530","1970","Indiana","18","Sullivan","153",,,,,"8320",,"Sullivan","1",,"06",159,162,138,286,1008,894,1785,225,60,106,128,199,429,416,912,146
"G1801550","1970","Indiana","18","Switzerland","155",,,,,"8320",,"Switzerland","1",,"08",20,74,28,82,281,258,620,192,22,23,28,84,184,201,363,73
"G1801570","1970","Indiana","18","Tippecanoe","157",,,,,"3920",,"Tippecanoe","0",,"09",707,2066,2433,3477,7036,4855,7752,862,570,1620,1949,2385,3322,2580,4565,584
"G1801590","1970","Indiana","18","Tipton","159",,,,,,,"Tipton","1",,"05",177,150,143,318,1048,837,1515,197,83,126,142,148,522,492,852,111
"G1801610","1970","Indiana","18","Union","161",,,,,"3920",,"Union","1",,"04",54,78,51,127,346,370,611,143,30,37,41,76,193,164,397,58
"G1801630","1970","Indiana","18","Vanderburgh","163",,,,,"2440",,"Vanderburgh","0",,"E",1444,1986,1820,2894,8891,8762,15430,1828,772,1499,1592,2206,4343,5167,9719,1111
"G1801650","1970","Indiana","18","Vermillion","165",,,,,"8320",,"Vermillion","1",,"09",74,99,158,334,921,777,1596,189,48,127,65,167,450,424,935,161
"G1801670","1970","Indiana","18","Vigo","167",,,,,"8320",,"Vigo","0",,"G",857,1763,1808,2135,5311,4771,9789,1198,495,1543,1677,1481,2592,2983,6762,937
"G1801690","1970","Indiana","18","Wabash","169",,,,,,,"Wabash","1",,"09",261,449,411,743,2022,1838,3040,444,191,398,466,514,1121,1193,2162,262
"G1801710","1970","Indiana","18","Warren","171",,,,,"8320",,"Warren","1",,"09",42,59,99,110,477,471,849,118,34,63,47,34,222,267,376,86
"G1801730","1970","Indiana","18","Warrick","173",,,,,"2440",,"Warrick","1",,"06",130,200,210,488,1854,1390,2434,254,67,170,244,265,703,731,1073,164
"G1801750","1970","Indiana","18","Washington","175",,,,,,,"Washington","1",,"07",116,188,237,343,970,1013,1669,308,60,140,145,186,504,635,921,118
"G1801770","1970","Indiana","18","Wayne","177",,,,,,,"Wayne","1",,"04",607,842,810,1368,4446,4169,7110,986,357,712,733,948,2051,2584,4382,564
"G1801790","1970","Indiana","18","Wells","179",,,,,,,"Wells","1",,"03",215,257,234,460,1370,1302,2015,371,89,203,200,267,816,710,1282,260
"G1801810","1970","Indiana","18","White","181",,,,,,,"White","1",,"09",179,154,144,322,1168,1051,1982,301,85,164,116,275,532,586,1218,173
"G1801830","1970","Indiana","18","Whitley","183",,,,,"2440",,"Whitley","1",,"03",310,335,246,400,1257,1282,2147,340,134,203,237,273,678,754,1244,183
"G1900010","1970","Iowa","19","Adair","001",,,,,,,"Adair","1",,"03",130,101,55,80,443,461,1141,290,63,16,21,32,177,275,553,105
"G1900030","1970","Iowa","19","Adams","003",,,,,,,"Adams","1",,"03",67,68,32,43,296,296,656,192,14,29,16,20,124,72,375,54
"G1900050","1970","Iowa","19","Allamakee","005",,,,,,,"Allamakee","1",,"04",159,176,111,125,628,698,1407,369,137,101,90,81,308,355,788,120
"G1900070","1970","Iowa","19","Appanoose","007",,,,,,,"Appanoose","1",,"03",102,178,131,234,596,619,1462,276,54,115,82,116,250,326,789,178
"G1900090","1970","Iowa","19","Audubon","009",,,,,,,"Audubon","1",,"01",78,118,54,115,340,561,1024,194,64,43,25,34,171,192,510,59
"G1900110","1970","Iowa","19","Benton","011",,,,,,,"Benton","1",,"05",172,208,161,326,1147,1187,2252,336,127,153,147,135,507,583,1035,142
"G1900130","1970","Iowa","19","Black Hawk","013",,,,,"8920",,"Black Hawk","0",,"E",1466,1528,1652,2332,7446,6364,10976,1134,1033,1930,1973,1810,3471,3423,6733,773
"G1900150","1970","Iowa","19","Boone","015",,,,,,,"Boone","1",,"02",229,271,216,469,1273,1166,2434,374,222,216,178,281,565,635,1437,238
"G1900170","1970","Iowa","19","Bremer","017",,,,,,,"Bremer","1",,"04",164,255,354,362,1229,1095,1964,352,84,290,320,197,459,520,1126,117
"G1900190","1970","Iowa","19","Buchanan","019",,,,,,,"Buchanan","1",,"04",205,134,189,358,1132,965,1927,314,103,138,103,190,487,415,1157,119
"G1900210","1970","Iowa","19","Buena Vista","021",,,,,,,"Buena Vista","1",,"01",181,236,246,271,818,1086,2119,374,141,155,135,201,303,520,1089,239
"G1900230","1970","Iowa","19","Butler","023",,,,,,,"Butler","1",,"04",94,133,150,236,764,901,1691,342,23,81,62,145,262,332,633,94
"G1900250","1970","Iowa","19","Calhoun","025",,,,,,,"Calhoun","1",,"02",121,116,91,191,625,673,1410,222,46,77,52,96,290,279,661,123
"G1900270","1970","Iowa","19","Carroll","027",,,,,,,"Carroll","1",,"01",242,204,114,253,950,1097,2104,421,138,169,88,160,493,517,1086,262
"G1900290","1970","Iowa","19","Cass","029",,,,,,,"Cass","1",,"01",179,116,142,223,945,726,1752,485,131,88,94,106,308,421,1011,154
"G1900310","1970","Iowa","19","Cedar","031",,,,,,,"Cedar","1",,"06",123,152,112,298,1008,802,1795,397,127,92,55,158,335,413,766,107
"G1900330","1970","Iowa","19","Cerro Gordo","033",,,,,,,"Cerro Gordo","1",,"04",455,755,324,856,2364,2566,4531,598,274,629,529,536,1057,1536,2694,461
"G1900350","1970","Iowa","19","Cherokee","035",,,,,,,"Cherokee","1",,"01",227,170,104,239,831,872,1593,341,78,105,68,127,326,429,927,93
"G1900370","1970","Iowa","19","Chickasaw","037",,,,,,,"Chickasaw","1",,"04",130,118,104,223,742,726,1393,240,70,92,52,74,255,320,535,64
"G1900390","1970","Iowa","19","Clarke","039",,,,,,,"Clarke","1",,"03",64,76,47,131,409,312,813,246,51,19,34,29,110,163,462,92
"G1900410","1970","Iowa","19","Clay","041",,,,,,,"Clay","1",,"02",215,171,143,246,934,931,1729,274,182,171,97,163,413,567,864,128
"G1900430","1970","Iowa","19","Clayton","043",,,,,,,"Clayton","1",,"04",134,137,176,276,946,1097,2038,447,64,121,145,147,355,488,953,157
"G1900450","1970","Iowa","19","Clinton","045",,,,,,,"Clinton","1",,"06",628,618,461,984,3170,2851,5409,738,412,517,454,586,1351,1483,2923,427
"G1900470","1970","Iowa","19","Crawford","047",,,,,,,"Crawford","1",,"01",154,156,178,418,1041,878,1806,386,136,65,109,222,393,350,902,162
"G1900490","1970","Iowa","19","Dallas","049",,,,,,,"Dallas","1",,"02",262,244,220,450,1419,1418,2355,495,191,155,150,238,632,761,1460,264
"G1900510","1970","Iowa","19","Davis","051",,,,,,,"Davis","1",,"03",39,75,50,109,340,422,888,207,0,72,28,55,168,173,435,67
"G1900530","1970","Iowa","19","Decatur","053",,,,,,,"Decatur","1",,"03",46,191,136,175,427,327,790,191,38,232,97,89,220,207,520,100
"G1900550","1970","Iowa","19","Delaware","055",,,,,,,"Delaware","1",,"04",185,156,135,292,930,874,1665,359,97,115,65,79,284,384,766,131
"G1900570","1970","Iowa","19","Des Moines","057",,,,,,,"Des Moines","1",,"06",383,522,372,805,2659,2295,4351,615,303,446,411,710,1298,1545,2983,580
"G1900590","1970","Iowa","19","Dickinson","059",,,,,"8920",,"Dickinson","1",,"02",95,133,118,120,582,618,1277,269,76,80,83,89,266,453,752,123
"G1900610","1970","Iowa","19","Dubuque","061",,,,,"2200",,"Dubuque","0",,"06",780,1282,1081,1668,4991,4312,6829,1002,754,1002,962,1176,1889,1974,3843,858
"G1900630","1970","Iowa","19","Emmet","063",,,,,,,"Emmet","1",,"02",181,237,128,179,650,621,1217,214,87,200,83,93,231,329,712,74
"G1900650","1970","Iowa","19","Fayette","065",,,,,,,"Fayette","1",,"04",345,322,182,408,1188,1239,2507,426,201,222,218,188,459,596,1265,241
"G1900670","1970","Iowa","19","Floyd","067",,,,,,,"Floyd","1",,"04",199,211,136,219,1141,857,1900,230,131,134,117,124,440,480,864,154
"G1900690","1970","Iowa","19","Franklin","069",,,,,,,"Franklin","1",,"02",136,155,83,117,610,698,1493,309,77,27,42,99,207,345,671,111
"G1900710","1970","Iowa","19","Fremont","071",,,,,,,"Fremont","1",,"01",97,45,53,130,417,451,986,275,38,59,28,65,177,242,600,79
"G1900730","1970","Iowa","19","Greene","073",,,,,,,"Greene","1",,"02",149,113,65,188,576,588,1341,291,45,65,94,83,201,276,744,154
"G1900750","1970","Iowa","19","Grundy","075",,,,,,,"Grundy","1",,"05",84,84,139,218,709,760,1531,244,28,87,83,106,291,257,653,118
"G1900770","1970","Iowa","19","Guthrie","077",,,,,,,"Guthrie","1",,"03",99,98,97,159,585,493,1313,331,43,62,49,61,206,279,681,180
"G1900790","1970","Iowa","19","Hamilton","079",,,,,,,"Hamilton","1",,"02",213,236,147,267,861,1044,1836,343,129,133,124,181,428,535,939,152
"G1900810","1970","Iowa","19","Hancock","081",,,,,,,"Hancock","1",,"02",106,129,67,159,601,668,1419,269,115,60,32,66,211,286,732,86
"G1900830","1970","Iowa","19","Hardin","083",,,,,,,"Hardin","1",,"02",194,319,164,334,1028,1042,2191,425,166,190,97,187,456,527,1174,165
"G1900850","1970","Iowa","19","Harrison","085",,,,,,,"Harrison","1",,"01",126,194,121,165,741,759,1670,400,51,108,83,102,249,454,826,127
"G1900870","1970","Iowa","19","Henry","087",,,,,,,"Henry","1",,"05",163,180,252,303,987,807,1682,335,86,186,176,258,516,502,1158,193
"G1900890","1970","Iowa","19","Howard","089",,,,,,,"Howard","1",,"04",103,88,46,100,481,529,1198,298,69,29,36,82,172,228,622,76
"G1900910","1970","Iowa","19","Humboldt","091",,,,,,,"Humboldt","1",,"02",109,119,117,97,601,611,1278,216,89,77,27,90,214,334,546,62
"G1900930","1970","Iowa","19","Ida","093",,,,,,,"Ida","1",,"01",97,57,43,132,398,539,998,169,68,20,23,45,159,253,425,105
"G1900950","1970","Iowa","19","Iowa","095",,,,,,,"Iowa","1",,"05",169,147,167,207,735,808,1598,277,107,130,47,157,389,447,894,180
"G1900970","1970","Iowa","19","Jackson","097",,,,,,,"Jackson","1",,"06",214,229,157,315,1080,1088,1791,386,140,147,142,108,433,611,1018,210
"G1900990","1970","Iowa","19","Jasper","099",,,,,,,"Jasper","1",,"05",409,329,271,463,1874,2085,3355,497,257,256,237,367,844,1212,1920,323
"G1901010","1970","Iowa","19","Jefferson","101",,,,,,,"Jefferson","1",,"03",140,208,175,390,795,675,1479,286,89,153,158,150,318,412,929,141
"G1901030","1970","Iowa","19","Johnson","103",,,,,,,"Johnson","1",,"06",511,1093,1675,2371,4878,2950,4046,677,454,1227,1903,2406,2707,1675,2850,474
"G1901050","1970","Iowa","19","Jones","105",,,,,,,"Jones","1",,"06",157,206,183,326,1030,944,1828,375,115,100,130,128,415,485,873,212
"G1901070","1970","Iowa","19","Keokuk","107",,,,,,,"Keokuk","1",,"05",89,125,125,242,575,595,1416,373,54,63,58,107,224,295,765,139
"G1901090","1970","Iowa","19","Kossuth","109",,,,,,,"Kossuth","1",,"02",195,245,115,286,985,1162,2245,384,122,134,120,186,419,484,1059,180
"G1901110","1970","Iowa","19","Lee","111",,,,,"2200",,"Lee","1",,"06",370,546,400,594,2141,2017,3991,635,220,383,362,468,1047,1209,2307,314
"G1901130","1970","Iowa","19","Linn","113",,,,,"1360",,"Linn","0",,"F",1222,1565,1768,3374,10895,8787,13171,1416,1212,1950,1903,2789,5451,4639,7886,1033
"G1901150","1970","Iowa","19","Louisa","115",,,,,,,"Louisa","1",,"06",93,127,60,183,548,575,950,159,106,56,69,100,139,297,622,73
"G1901170","1970","Iowa","19","Lucas","117",,,,,,,"Lucas","1",,"03",67,100,34,146,455,508,1046,231,47,79,3,61,203,284,585,108
"G1901190","1970","Iowa","19","Lyon","119",,,,,,,"Lyon","1",,"01",148,92,68,230,581,707,1283,239,85,86,76,86,191,307,525,73
"G1901210","1970","Iowa","19","Madison","121",,,,,,,"Madison","1",,"03",74,133,63,162,541,554,1256,308,65,62,74,40,260,241,585,120
"G1901230","1970","Iowa","19","Mahaska","123",,,,,,,"Mahaska","1",,"05",241,200,222,339,1039,959,2081,448,111,288,204,215,335,596,1150,173
"G1901250","1970","Iowa","19","Marion","125",,,,,,,"Marion","1",,"03",153,286,337,512,1233,1187,2239,458,87,345,289,245,530,698,1347,246
"G1901270","1970","Iowa","19","Marshall","127",,,,,,,"Marshall","1",,"05",351,512,360,844,2427,2012,3706,442,206,350,405,425,1223,1072,2148,377
"G1901290","1970","Iowa","19","Mills","129",,,,,,,"Mills","1",,"01",81,88,75,186,589,586,1133,208,51,66,63,69,266,227,568,122
"G1901310","1970","Iowa","19","Mitchell","131",,,,,,,"Mitchell","1",,"04",145,117,32,164,580,620,1222,277,90,137,58,49,167,314,645,141
"G1901330","1970","Iowa","19","Monona","133",,,,,,,"Monona","1",,"01",93,115,62,179,517,555,1299,225,45,48,50,71,158,322,554,141
"G1901350","1970","Iowa","19","Monroe","135",,,,,,,"Monroe","1",,"03",72,94,64,122,348,437,956,184,19,35,44,72,128,243,535,99
"G1901370","1970","Iowa","19","Montgomery","137",,,,,,,"Montgomery","1",,"01",99,96,72,181,527,626,1331,320,66,50,44,117,221,370,780,115
"G1901390","1970","Iowa","19","Muscatine","139",,,,,,,"Muscatine","1",,"06",362,504,413,686,2166,1845,3236,530,177,454,316,375,1073,986,1834,289
"G1901410","1970","Iowa","19","O Brien","141",,,,,,,"O>Brien","1",,"01",199,155,117,239,716,906,1593,195,105,146,120,106,264,440,836,192
"G1901430","1970","Iowa","19","Osceola","143",,,,,,,"Osceola","1",,"02",53,85,41,101,420,343,840,118,42,56,42,42,129,137,358,76
"G1901450","1970","Iowa","19","Page","145",,,,,,,"Page","1",,"01",147,247,152,207,812,880,1927,596,85,229,78,138,380,558,1223,181
"G1901470","1970","Iowa","19","Palo Alto","147",,,,,,,"Palo Alto","1",,"02",124,111,120,164,484,668,1233,231,51,92,104,70,236,265,668,109
"G1901490","1970","Iowa","19","Plymouth","149",,,,,,,"Plymouth","1",,"01",189,333,271,362,1074,1261,2116,456,87,225,251,201,432,433,1006,187
"G1901510","1970","Iowa","19","Pocahontas","151",,,,,"1360",,"Pocahontas","1",,"02",143,137,66,162,567,597,1237,234,32,43,36,58,174,240,591,94
"G1901530","1970","Iowa","19","Polk","153",,,,,"2120",,"Polk","0",,"C",3026,3339,2978,5847,16885,15100,24222,2910,2084,3622,3478,4695,8929,9153,17403,2423
"G1901550","1970","Iowa","19","Pottawattamie","155",,,,,"5920",,"Pottawattamie","1",,"B",832,903,773,1530,4858,4677,7274,980,484,904,744,952,2328,2547,4363,604
"G1901570","1970","Iowa","19","Poweshiek","157",,,,,,,"Poweshiek","1",,"05",193,287,210,317,996,891,1768,364,126,205,240,178,484,510,971,190
"G1901590","1970","Iowa","19","Ringgold","159",,,,,,,"Ringgold","1",,"03",66,60,26,82,273,335,746,254,16,27,22,25,118,168,372,85
"G1901610","1970","Iowa","19","Sac","161",,,,,"5920",,"Sac","1",,"01",178,88,94,189,608,845,1630,297,72,78,83,45,217,332,744,145
"G1901630","1970","Iowa","19","Scott","163",,,,,"1960",,"Scott","0",,"D",1276,1456,1410,2714,8953,7507,11993,1379,728,1536,1309,1767,3761,3924,6699,956
"G1901650","1970","Iowa","19","Shelby","165",,,,,,,"Shelby","1",,"01",133,169,70,201,789,705,1503,280,141,110,54,80,324,284,573,85
"G1901670","1970","Iowa","19","Sioux","167",,,,,,,"Sioux","1",,"01",334,545,332,454,1261,1355,2303,386,172,355,336,216,466,566,968,147
"G1901690","1970","Iowa","19","Story","169",,,,,,,"Story","1",,"02",460,1388,1849,1838,3687,2576,3998,645,327,876,1307,1487,1831,1410,2771,580
"G1901710","1970","Iowa","19","Tama","171",,,,,,,"Tama","1",,"05",140,185,139,245,960,994,2001,422,89,109,85,140,306,485,879,167
"G1901730","1970","Iowa","19","Taylor","173",,,,,,,"Taylor","1",,"03",65,89,76,85,325,395,1045,289,48,58,22,31,130,190,487,56
"G1901750","1970","Iowa","19","Union","175",,,,,,,"Union","1",,"03",102,144,119,179,659,605,1274,259,94,91,63,128,297,340,750,131
"G1901770","1970","Iowa","19","Van Buren","177",,,,,,,"Van Buren","1",,"03",78,48,40,67,369,407,887,255,25,24,27,37,190,188,511,81
"G1901790","1970","Iowa","19","Wapello","179",,,,,,,"Wapello","1",,"03",368,354,322,509,1866,2114,4104,562,287,446,267,391,908,1237,2263,389
